t,neuron
676,10200
676.1,6500
676.5,5800
677,10100
677,10500
678.6,6100
692.3,6200
698.5,5100
699.4,2400
707.8,300
714.7,6900
716.2,5500
716.7,11400
718,12100
718.1,9700
718.3,9300
718.5,200
718.7,500
718.8,7100
718.8,8700
719.1,5600
719.2,4100
719.2,4200
719.2,7400
719.4,6600
719.6,2200
719.6,3800
719.6,4000
719.7,1000
719.7,10100
720,100
720,3500
720.1,5000
720.1,6700
720.1,12300
720.2,1300
720.2,1400
720.2,1800
720.2,3400
720.2,8200
720.2,9500
720.3,4600
720.3,8800
720.3,10000
720.3,10600
720.3,10700
720.3,11300
720.3,11700
720.4,5300
720.4,8400
720.4,10200
720.4,10400
720.4,11100
720.5,800
720.5,1100
720.5,1700
720.5,2500
720.5,2600
720.5,3600
720.5,6000
720.5,9100
720.5,10300
720.6,900
720.6,3900
720.6,5700
720.6,6500
720.6,7200
720.6,7300
720.7,2100
720.7,5100
720.7,7500
720.7,11800
720.9,9800
721,400
721.1,2700
721.1,8100
721.4,4300
721.4,11000
721.5,5400
721.6,1900
721.6,2300
721.6,4400
721.6,4700
721.6,11200
721.7,6200
721.8,8000
722,6800
722,7600
722.1,8500
723.2,3000
723.2,5500
723.5,6100
733.4,2000
749.2,2400
763.7,7100
771.9,8400
773.7,1700
774.2,6700
775,9600
775.7,1800
775.8,5200
776.2,4500
776.2,6000
777.8,7300
778.2,11800
778.6,1400
778.9,5400
778.9,8600
779.1,11700
779.2,3500
779.3,4700
779.4,2600
779.5,2100
779.6,6100
779.6,10700
779.7,500
779.7,11100
779.8,6500
780,5900
780,8000
780,12200
780.1,400
780.1,3400
780.2,8500
780.3,11200
780.3,11900
780.4,600
780.4,3600
780.5,2700
780.5,4000
780.5,10800
780.6,3800
780.6,4400
780.6,9900
780.6,10000
780.7,10200
780.9,9500
781,4300
781.1,100
781.3,1500
781.5,4900
781.6,5700
781.7,5500
782,4200
782.4,3300
783.1,6200
783.1,6300
784,5600
820.1,8000
822.3,10600
824.5,5300
826,3900
827.8,11200
829.1,2800
829.1,2900
830.4,2400
831.3,5000
831.7,6200
832.2,8500
832.2,9200
832.9,12300
833.3,7500
833.8,6600
834,3100
834.2,4400
834.6,6100
834.7,3000
834.7,5100
834.7,10700
835.1,3800
835.3,2700
835.4,5400
835.6,6400
835.9,1300
836.1,10400
836.2,200
836.2,1100
836.2,6300
836.2,6700
836.3,11700
836.3,12100
836.8,400
837.2,11000
837.7,1700
838.1,8700
838.3,10300
838.4,800
838.9,11800
839.1,6500
