t,neuron
78.1,9950
78.2,1300
78.4,9750
78.6,5650
78.6,7450
78.6,7650
78.6,8400
78.7,8800
78.9,7750
79,6750
79.1,3050
79.3,850
79.4,2850
79.7,4750
79.7,8650
80,4400
80,5750
80.1,6150
80.1,7800
80.3,5200
80.5,500
80.5,1650
80.5,5000
80.7,4850
80.7,8350
81.2,350
81.5,8150
81.7,6200
81.8,4100
82,8850
82.1,7600
82.9,3700
83,5850
83,7250
83,9450
83.1,1050
83.1,5500
83.2,5350
83.2,6850
83.3,1850
83.3,4250
83.4,1750
83.5,4550
83.7,4300
84,9700
84.2,6100
84.3,50
84.3,5800
84.6,4800
84.8,2000
84.8,4350
85.3,1250
85.3,4500
85.4,3650
85.4,4200
85.4,8300
85.5,1400
85.5,9300
85.5,9800
85.6,1900
85.7,4000
85.9,6550
86,2500
86.5,900
86.5,8750
86.6,4650
86.8,2150
86.9,6350
87.1,7700
87.1,9050
87.3,9550
87.4,7050
87.6,7950
87.7,1800
87.7,2200
87.7,5650
87.7,7350
87.8,5450
87.9,6700
88.1,1950
88.1,5700
88.2,1700
88.2,8250
88.4,150
88.4,5600
88.5,2900
88.7,7300
88.7,9500
88.9,7000
89,3900
89,7650
89,8700
89.1,550
89.1,3050
89.1,3100
89.1,3200
89.1,4050
89.1,7850
89.1,7900
89.2,200
89.2,6800
89.2,7400
89.3,100
89.5,8350
89.7,8050
89.8,2800
89.9,2950
90,1150
90,2850
90,7450
90.4,6750
90.5,3750
90.6,600
90.6,6500
90.6,9600
90.6,9950
90.8,5150
91.4,9250
91.9,7550
91.9,8450
92.2,1000
92.3,3300
92.5,9150
92.7,8600
92.9,4950
93,3400
93.2,5000
93.5,1300
94.1,5200
94.1,6650
94.1,8550
94.3,5250
94.4,1800
94.6,6300
94.7,750
95,1100
95.1,3700
95.3,2750
95.3,5350
95.3,7650
95.3,9850
95.6,1400
95.6,7200
95.6,8100
95.8,5500
95.9,1050
95.9,5100
96,5400
96.1,5650
96.2,4450
96.2,5800
96.3,1750
96.3,4700
96.4,7000
96.5,3650
96.6,650
96.7,1350
96.7,4600
96.8,7300
96.9,8800
97.1,5900
