t,neuron
127.5,5200
127.7,9100
127.8,1050
127.8,1950
127.8,2400
127.8,3650
127.8,3850
127.8,8400
127.9,5950
128.6,7950
128.7,5350
129.1,0
129.2,6150
129.4,2150
129.4,6450
129.4,6500
129.6,4400
129.7,900
129.7,8750
130,9600
130.3,6400
130.8,450
130.8,1150
130.9,7850
132,1750
132.3,3100
132.3,8600
132.5,1400
132.6,8550
132.6,9850
133.2,5500
133.2,7000
133.3,2800
133.3,8150
133.4,5250
133.5,9300
133.6,5650
133.7,7550
133.9,750
133.9,3450
133.9,3550
133.9,4650
134,6350
134.1,3700
134.2,3300
134.4,2550
134.4,8350
134.5,4800
134.6,850
134.7,4300
134.7,5600
134.7,7650
134.9,4100
134.9,6600
135,2700
135,4950
135.1,8100
135.2,6800
135.2,9800
135.3,2900
135.5,6700
135.7,4250
135.7,8400
135.8,7300
135.8,9050
136.1,1500
136.2,8700
136.3,1450
136.3,1700
136.3,1800
136.4,2750
136.5,2350
136.5,2600
136.5,4200
136.5,4750
136.5,5750
136.5,9450
136.5,9500
136.6,1250
136.6,9400
136.7,8200
136.7,9150
136.8,6750
137,7600
137.4,4350
137.5,1300
137.5,2950
137.5,6650
137.6,2850
137.7,8550
137.8,6900
138,350
138.2,5000
138.8,7800
139.2,600
139.9,7550
140.1,5800
140.4,100
140.4,1100
140.4,2200
140.5,200
140.8,2500
140.8,3400
141,7250
141,8000
141,8800
141.1,7750
141.2,4550
141.3,3900
141.3,4000
141.6,550
141.6,6450
141.8,1000
141.8,4450
141.9,5950
141.9,6950
141.9,7200
142,6300
142,7850
142.1,7000
142.2,3650
142.3,4050
142.4,5350
142.4,8300
142.7,900
142.7,5700
142.7,7050
142.8,5850
143,8750
143.1,1300
143.3,2450
143.4,1050
143.4,2000
143.6,6550
143.8,250
143.9,6500
144,3600
144,7300
144.1,50
144.1,9300
144.2,1900
144.2,3200
144.2,9550
144.4,2400
144.4,3050
144.4,5650
144.4,7900
144.5,1800
144.5,5150
144.8,3750
144.9,2650
145.1,4500
145.1,8600
145.1,8700
145.2,6200
145.3,5450
145.3,9850
145.4,1650
145.4,9700
145.6,4850
145.6,9250
145.7,9800
145.8,5050
145.9,1750
145.9,2950
145.9,8900
146,5200
146.1,4600
146.3,9150
146.4,1700
146.4,2050
146.4,3100
146.4,6100
146.5,8150
146.6,4700
148,8350
149.2,150
149.9,6900
150.1,5900
150.4,7950
150.6,5100
150.7,1400
150.9,7550
151,8850
151.1,6650
151.3,400
151.3,6750
151.4,2750
151.5,4250
151.8,4150
151.9,2800
151.9,3700
151.9,8250
152.1,300
152.4,9050
152.4,9750
152.5,8400
152.7,8550
153.4,1150
153.6,7600
153.8,7650
153.9,5000
154,7150
154.1,1450
154.1,3550
154.1,6300
154.2,850
154.2,4950
154.3,4200
154.3,5400
154.4,8750
154.5,550
154.5,2300
154.6,8800
154.7,4000
154.7,7050
154.8,500
154.8,7200
155,2500
155,4300
155,8300
155.4,750
155.5,4350
155.5,7400
155.6,350
155.6,5650
155.7,3650
155.7,5600
155.8,5250
155.8,7700
155.9,4450
156.2,2650
156.3,3000
156.3,8450
156.4,4650
156.7,9450
156.8,200
156.8,7250
156.9,1000
156.9,4550
156.9,5350
156.9,7850
157.1,2850
157.2,8200
157.4,3900
157.6,9800
157.7,5750
157.9,9600
158.3,8500
158.4,2900
158.4,2950
158.4,9100
158.7,6700
158.7,8000
158.9,5850
159.3,3300
159.4,5800
160.4,1800
160.6,50
160.6,1300
161.5,4800
161.6,5950
161.8,6850
162,6800
162.5,7800
162.6,7450
162.7,5500
162.9,5000
163,8550
163.1,6550
163.2,8050
163.3,2200
163.5,1350
163.5,9700
164,7050
164.1,1600
164.1,7300
164.2,5700
164.2,9300
164.3,3200
164.3,7950
164.3,8750
164.4,150
164.4,1750
164.5,5200
164.5,8350
164.5,8600
164.6,1700
164.6,1950
164.6,2500
164.6,6600
164.6,8150
164.6,8700
164.7,4500
164.7,4900
164.7,5650
164.7,6450
164.7,7650
164.8,2050
164.8,8950
164.9,0
164.9,1650
164.9,4600
164.9,4850
164.9,8400
165,3050
165,3750
165,4050
