t,neuron
95.4,1950
95.4,2200
95.5,4500
95.8,6800
96,5650
96.1,8900
96.2,650
96.2,1450
96.2,8450
96.2,8500
96.3,3850
96.3,7550
96.4,4350
96.4,7750
96.4,8600
96.5,8250
96.6,8300
96.7,8100
96.8,5950
96.9,3750
96.9,7000
97,2600
97.1,850
97.2,6100
97.4,9300
97.5,5850
97.7,5700
97.7,8850
97.8,1300
97.9,6750
98,8550
98.1,5100
98.9,5350
99.5,5200
99.6,9400
99.8,4300
99.8,9800
100,3550
100.2,6600
100.7,3400
100.7,7150
100.9,4550
100.9,9850
101.1,8950
101.1,9500
101.2,250
101.4,9550
101.6,200
101.6,4000
101.6,5250
101.6,9150
101.8,8000
101.9,8400
102.2,6150
102.3,900
102.4,6050
102.5,2450
102.7,6500
103.1,8350
103.5,4650
103.5,5800
103.5,9700
103.6,5000
103.8,2050
103.8,3200
104,3700
104.1,7250
104.1,7300
104.1,9950
104.4,1800
104.5,7050
104.6,6900
104.8,5150
104.8,7650
105,5650
105.1,100
105.2,8200
105.3,8800
105.4,3900
105.4,5750
105.4,9000
105.7,9100
105.8,750
106.4,3100
106.5,4600
106.6,7550
106.7,1850
106.7,4700
107,4250
107.2,9050
107.3,1400
107.5,1700
107.5,4350
107.5,8050
107.6,3050
107.6,7200
107.6,7950
107.7,1050
107.7,1450
107.8,850
108,7800
108.1,5900
108.1,8750
108.3,9300
108.4,2800
108.6,4400
108.6,6300
108.7,3000
108.8,7850
108.8,8700
108.9,350
109.1,3650
109.3,1250
109.4,5200
109.5,7600
109.6,8150
109.6,8900
109.9,2300
110,1000
110,1750
110.1,900
110.2,1350
110.3,4200
110.4,6550
110.5,550
110.6,6750
110.8,2000
110.8,6400
110.9,2500
111.1,9450
111.5,1300
111.7,2050
111.9,4300
112,8550
112.4,5800
113.5,5350
113.5,8600
113.9,2400
114.2,2550
114.3,8000
114.4,9800
114.5,6700
114.7,3700
114.7,4800
114.8,7100
115.1,2750
115.1,8300
115.2,6450
115.5,3900
115.6,3750
115.7,7700
116.3,6850
116.4,3300
116.4,6100
116.7,9750
116.8,5850
117,1650
117.2,7650
117.3,7600
117.4,2950
117.4,5650
117.5,4450
117.6,3650
117.6,4950
117.7,7000
117.8,1550
117.8,5000
118,5450
118.1,1800
118.1,7050
118.2,3600
118.6,1750
118.6,5150
118.6,6800
118.7,6600
118.9,4500
119,450
119.1,8800
119.3,50
119.3,200
119.3,4900
119.3,5100
119.3,7450
119.3,9150
119.4,1150
119.4,5700
119.5,2150
119.8,650
119.8,2850
119.8,8600
119.9,4850
119.9,8350
120,3100
120.1,5050
120.2,550
120.2,9100
120.4,100
120.5,5950
120.6,750
120.6,8250
120.7,5250
120.8,3550
120.8,5800
120.8,9850
120.9,7250
121,4200
121.1,3050
121.1,7200
121.2,7550
121.3,2800
121.7,3200
121.7,6750
121.7,9450
121.8,9200
121.9,4050
121.9,7400
121.9,7950
122,900
122,8750
122.1,6500
122.1,9250
122.3,500
122.4,6650
122.5,6900
122.5,8550
122.6,4600
122.8,7300
122.9,1050
122.9,1100
122.9,3400
123,8500
123.1,5200
123.1,5500
123.1,7850
123.4,9050
123.6,2000
123.6,4650
123.7,1300
123.7,9300
124,4550
124.2,1900
124.2,8700
124.4,2500
124.5,7900
124.7,3700
125.1,6300
125.4,9800
125.5,1000
125.7,1450
126,2200
126,3850
126.7,5650
127,4950
