t,neuron
275.8,9850
275.9,2850
276.9,4950
277.3,8150
277.4,11650
279.5,2950
280.3,6550
280.8,3550
281,8550
281.4,11950
281.5,12450
281.6,550
281.9,7050
282.2,8050
282.4,9150
282.5,10550
282.6,9950
282.6,12250
282.7,4150
282.7,4550
282.7,6850
282.7,8250
282.7,11050
282.8,11150
283,6050
283,11750
283.1,1250
283.1,4350
283.2,6450
283.2,10950
283.4,2550
283.7,1150
284.2,4450
284.2,5350
284.3,5050
284.5,650
284.9,10250
285,12050
285.3,1650
285.5,2450
285.7,5750
285.8,1350
286.2,3950
286.8,5850
286.9,1550
287,2750
287,6950
287.2,5450
287.2,8050
287.2,11450
287.4,7850
287.6,7750
287.7,2050
288.1,9050
288.6,5150
288.6,8950
288.7,2650
288.7,7650
289.6,5950
289.7,750
290,9450
290.2,3250
290.2,5650
290.6,3750
290.6,8150
290.8,6250
291.2,4650
291.5,3450
291.5,6850
291.5,7250
293.4,3350
293.5,1250
294.5,4350
294.6,250
294.7,2150
295,5550
295,9350
295,11150
295.3,7850
295.7,7950
295.8,9250
295.9,3150
295.9,4550
295.9,10950
296,2450
296.1,11850
296.3,4750
296.4,6050
296.5,2050
296.5,2550
296.5,4150
296.9,150
296.9,2850
296.9,11750
297,9850
297.2,2950
297.2,6150
297.3,350
297.3,9150
297.3,10650
297.3,11050
297.4,3550
297.4,4950
297.4,7150
297.6,9650
297.7,1450
297.8,10750
297.9,10150
298.4,5350
298.7,1550
298.8,12050
299,3950
299,5150
299,5450
299,6550
299,12450
299.2,8450
299.8,10850
299.9,4850
299.9,9050
300.1,9950
300.1,12350
300.2,8050
300.6,50
301.7,10250
301.9,4450
302.7,4350
303.5,4650
303.8,750
303.9,3250
304.2,12250
304.3,7650
304.3,8650
304.8,1650
304.8,2350
304.8,5750
304.9,8350
305.4,2450
305.5,3450
305.5,5050
305.5,10550
305.8,3650
305.9,2850
305.9,10050
306.1,5850
306.3,5450
306.3,11950
306.4,7250
306.7,8750
306.8,3050
306.9,7750
307.3,3750
307.3,8150
307.5,7550
307.6,11050
308.2,11550
308.4,4350
308.5,7450
309.4,4150
309.5,6050
309.9,9850
311.3,6150
311.5,650
311.5,9950
311.9,7050
312.1,1250
312.3,9050
312.7,450
313,4950
313,6850
313.6,6950
313.7,10750
313.8,2550
314.3,10150
314.9,9650
315.1,850
315.3,7850
315.4,2750
315.4,3950
315.4,8450
315.5,1150
315.7,6250
316.8,11050
317,10950
317.2,250
317.3,4150
317.5,4650
317.7,4850
317.9,2650
318.2,9350
319.2,1650
319.3,9150
319.5,5950
319.9,8050
320,5550
320.3,2050
320.3,3550
320.4,5150
320.7,6450
321,350
321.1,6550
321.1,7150
321.2,9550
321.2,10250
321.2,12050
321.3,8150
321.3,8550
321.3,11350
321.4,5350
321.6,12450
321.7,11950
321.8,2850
321.8,4350
321.8,5050
321.8,8650
321.9,2450
322.2,2350
322.2,2950
322.2,6050
322.3,3050
322.4,1550
322.8,2150
322.8,5450
323,3250
323,4550
323,5750
323.8,10650
324,11750
324.4,1250
324.4,9450
324.6,7250
325.7,50
326.1,650
326.2,11850
326.3,4150
327.6,2550
327.6,6850
327.8,4650
328.1,9850
328.7,8750
328.7,10250
328.7,12250
328.9,9150
328.9,11450
329,3950
329.1,9950
329.8,3450
330,8950
330.1,8150
330.1,11050
330.5,3650
330.5,5850
330.5,8650
330.8,11150
331.2,4450
331.3,4950
331.6,9650
331.7,8050
331.9,5350
332.1,3750
332.1,10850
332.3,850
332.3,12450
332.4,4550
332.5,1150
332.5,10350
332.6,8350
332.7,7150
332.8,7450
332.8,9050
332.9,10450
333,7750
333,7850
333,11950
333.1,4850
333.7,6450
333.8,1650
333.9,1050
334,3550
334,3950
334.2,5550
334.2,6150
334.5,3350
334.5,7250
334.8,2650
335.3,10550
336.3,4350
336.3,5750
337.6,2350
337.6,5050
337.7,450
337.7,8450
337.7,10750
337.8,10950
338.1,8250
338.2,5450
338.4,3450
338.5,11550
338.6,750
338.6,6550
338.9,2050
338.9,9150
339.2,9350
339.4,11650
339.6,7850
339.9,12350
340,1350
340.4,2550
340.4,6850
341.3,650
341.4,3750
341.6,5350
341.9,4750
342,5950
342.6,4150
342.9,9950
343.1,3250
343.5,350
343.6,7650
343.8,2950
343.8,8050
343.9,1250
344,11450
344.1,2450
344.2,5150
344.4,4850
344.5,9450
344.5,12050
344.6,3950
344.7,10250
344.9,4650
345.5,4350
345.5,8950
345.6,6050
345.6,11050
345.7,250
346.7,6250
347,2750
347.4,9050
347.8,10950
349,2850
349,7250
349.3,2050
350.3,8150
350.4,9850
350.5,11750
351.5,6950
351.7,1650
351.8,2150
351.8,4950
351.8,7850
352,7950
352.1,3050
352.1,5150
352.2,5550
352.2,12250
352.3,5850
352.3,12150
352.6,1450
352.6,3450
352.6,7550
352.7,2950
352.7,5450
352.7,6450
352.8,10250
353.2,11850
353.3,4350
353.5,6150
354.4,9650
355.6,9050
355.8,3550
355.8,4150
356,11050
356.2,10650
356.3,6850
356.4,2350
356.5,2050
356.7,4650
357.4,3950
357.5,8350
357.9,11950
358,8050
358.1,12450
358.4,8750
358.6,4550
358.8,5050
358.8,5350
359.1,5750
359.8,6050
359.8,6650
359.9,50
359.9,2450
360.2,8550
360.3,1150
360.3,9950
360.4,10150
360.6,1250
360.6,9450
361.2,850
361.2,7050
361.4,1350
361.5,10550
361.6,4950
361.9,5450
361.9,10250
362,9250
362.1,5150
362.3,12050
362.7,2550
362.8,4350
363.7,9350
364,2850
364,3250
